model;Native Region Name;iso;Country
SSA;Sub-Saharian African (except South Africa);ETH;Ethiopia 
EUROPE;Europe;FIN;Finland 
OCEANIA;Oceania;FJI;Fiji 
LACA;Latin america and Caraibes (except Brasil and Mexico);FLK;Falkland Islands (Malvinas) 
EUROPE;Europe;FRA;France 
EUROPE;Europe;FRO;Faroe Islands 
OCEANIA;Oceania;FSM;Micronesia, Federated States of 
SSA;Sub-Saharian African (except South Africa);GAB;Gabon 
EUROPE;Europe;GBR;United Kingdom 
TE;Transition Economies (including Russia);GEO;Georgia 
EUROPE;Europe;GGY;Guernsey 
SSA;Sub-Saharian African (except South Africa);GHA;Ghana 
EUROPE;Europe;GIB;Gibraltar 
SSA;Sub-Saharian African (except South Africa);GIN;Guinea 
LACA;Latin america and Caraibes (except Brasil and Mexico);GLP;Guadeloupe 
SSA;Sub-Saharian African (except South Africa);GMB;Gambia 
SSA;Sub-Saharian African (except South Africa);GNB;Guinea-Bissau 
SSA;Sub-Saharian African (except South Africa);GNQ;Equatorial Guinea 
EUROPE;Europe;GRC;Greece 
LACA;Latin america and Caraibes (except Brasil and Mexico);GRD;Grenada 
EUROPE;Europe;GRL;Greenland 
LACA;Latin america and Caraibes (except Brasil and Mexico);GTM;Guatemala 
LACA;Latin america and Caraibes (except Brasil and Mexico);GUF;French Guiana 
OCEANIA;Oceania;GUM;Guam 
LACA;Latin america and Caraibes (except Brasil and Mexico);GUY;Guyana 
CHINA;China;HKG;Hong Kong 
OCEANIA;Oceania;HMD;Heard Island and McDonald Islands 
LACA;Latin america and Caraibes (except Brasil and Mexico);HND;Honduras 
EUROPE;Europe;HRV;Croatia 
LACA;Latin america and Caraibes (except Brasil and Mexico);HTI;Haiti 
EUROPE;Europe;HUN;Hungary 
INDONESIA;Indonesia;IDN;Indonesia 
EUROPE;Europe;IMN;Isle of Man 
INDIA;India;IND;India 
SSA;Sub-Saharian African (except South Africa);IOT;British Indian Ocean Territory 
EUROPE;Europe;IRL;Ireland 
MENA;Moyen-Orient and North Africa;IRN;Iran, Islamic Republic of 
MENA;Moyen-Orient and North Africa;IRQ;Iraq 
EUROPE;Europe;ISL;Iceland 
MENA;Moyen-Orient and North Africa;ISR;Israel 
EUROPE;Europe;ITA;Italy 
LACA;Latin america and Caraibes (except Brasil and Mexico);JAM;Jamaica 
EUROPE;Europe;JEY;Jersey 
MENA;Moyen-Orient and North Africa;JOR;Jordan 
JPNKOR;Japan and South Korea;JPN;Japan 
TE;Transition Economies (including Russia);KAZ;Kazakhstan 
SSA;Sub-Saharian African (except South Africa);KEN;Kenya 
TE;Transition Economies (including Russia);KGZ;Kyrgyzstan 
SEASIA;South-East Asia;KHM;Cambodia 
OCEANIA;Oceania;KIR;Kiribati 
LACA;Latin america and Caraibes (except Brasil and Mexico);KNA;Saint Kitts and Nevis 
JPNKOR;Japan and South Korea;KOR;Korea, Republic of 
MENA;Moyen-Orient and North Africa;KWT;Kuwait 
SEASIA;South-East Asia;LAO;Lao People's Democratic Republic 
MENA;Moyen-Orient and North Africa;LBN;Lebanon 
SSA;Sub-Saharian African (except South Africa);LBR;Liberia 
MENA;Moyen-Orient and North Africa;LBY;Libyan Arab Jamahiriya 
LACA;Latin america and Caraibes (except Brasil and Mexico);LCA;Saint Lucia 
EUROPE;Europe;LIE;Liechtenstein 
SASIA;South Asia;LKA;Sri Lanka 
SSA;Sub-Saharian African (except South Africa);LSO;Lesotho 
EUROPE;Europe;LTU;Lithuania 
EUROPE;Europe;LUX;Luxembourg 
EUROPE;Europe;LVA;Latvia 
